type;id;name;gender
;Q168542;Adalbert‑Stifter‑Weg;m
;-;Adam‑Krafft‑Straße;m
;Q350847;Adam‑Schmitt‑Weg;m
;Q104819;Afföllerstraße;-
;Q104819;Afföllerwiesen;-
;Q42292;Ahornweg;-
;;Akazienweg;-
;Q49325;Albert‑Schweitzer‑Straße;m
;Q57128;Albrecht-Kossel-Straße;m
;Q76323;Alfred‑Wegener-Straße;m
;;Allersbergweg;
;;Allnatalstraße;
;;Alte Hute;
;;Alte Kasseler Straße;
;;Alte Kirchhofsgasse;
;;Alte Schulstraße;
;;Alter Ebsdorfer Weg;
;;Alter Kirchhainer Weg;
;;Alter Weg;
;;Altes Schloß;
;;Am Alten Rasen;
;;Am Bahndamm;
;;Am Berg;
;;Am Bettacker;
;;Am Bienengarten;
;;Am Born;
;;Am Bornberg;
;;Am Brückchen;
;;Am Buchenwald;
;;Am Dachsbau;
;;Am Dammelsberg;
;;Am Denkmal;
;;Am Engelsberg;
;Q25239;Am Erlengraben;-
;;Am Forsthaus;
;;Am Friedhof;
;;Am Glaskopf;
;;Am Grabenacker;
;;Am Grassenberg;
;-;Am Grün;-
;;Am grünen Hang;
;;Am Gutshof;
;;Am Hang;
;;Am Hasenküppel;
;;Am Hasselhof;
;;Am Hedgesberg;
;;Am Herrenfeld;
;;Am Jägerwäldchen;
;;Am Kähnelplatz;
;;Am Kaufmarkt;
;;Am Kirchberg;
;;Am Kirschenwald;
;;Am Knechtacker;
;;Am Köppel;
;;Am Kornacker;
;;Am Kornfeld;
;;Am Krappen;
;-;Am Krekel;-
;;Am Kuhweg;
;;Am Kupfergraben;
;;Am Lorch;
;;Am Mähracker;
;;Am Marktpfad;
;;Am Martsacker;
;;Am Mühlgraben;
;;Am Mühlhof;
;;Am Mühlteich;
;;Am Nußacker;
;;Am Ortenbergsteg;
;;Am Pfaffenwald;
;-;Am Plan;-
;;Am Pulverturm;
;;Am Rabenstein;
;;Am Rain;
;;Am Richtsberg;
;;Am Rödchen;
;;Am Schlag;
;;Am Schulgarten;
;;Am Schulhof;
;;Am Schützenplatz;
;;Am Schwanhof;
;;Am Schwarzen Born;
;;Am Spielplatz;
;;Am Steinmühlfeld;
;;Am Strauch;
;;Am Strauchacker;
;;Am Teich;
;;Am Trusch;
;;Am Vogelherd;
;;Am Waldacker;
;;Am Wäldchen;
;;Am Waldrand;
;;Am Wall;
;Q282;Am Weinberg;-
;;Am Weißenstein;
;;Am Welzebach;
;;Am Wichtel;
;;Am Wittelsberg;
;;Am Ziegenberg;
;;Am Zuckerberg;
;Q373902;Amöneburger Straße;-
;;Amselstraße;
;;An den Brunnenröhren;
