name;source;gender;wikidata;type
Adalbert‑Stifter‑Weg;wikidata;m;Q168542;
Adam‑Krafft‑Straße;wikidata;m;-;
Adam‑Schmitt‑Weg;wikidata;m;Q350847;
Afföllerstraße;wikidata;-;Q104819;
Afföllerwiesen;wikidata;-;Q104819;
Ahornweg;wikidata;-;Q42292;
Albert‑Schweitzer‑Straße;wikidata;m;Q49325;
Albrecht-Kossel-Straße;wikidata;m;Q57128;
Alfred‑Wegener-Straße;wikidata;m;Q76323;
Am Erlengraben;wikidata;-;Q25239;
Am Weinberg;wikidata;-;Q282;
Amöneburger Straße;wikidata;-;Q373902;
Anne-Frank-Straße;wikidata;w;Q4583;
Anneliese Pohl Allee;wikidata;w;-;
Auf den Lahnbergen;wikidata;-;Q1517066;
August-Bebel‑Platz;wikidata;m;Q76520;
August‑Bebel‑Straße;wikidata;m;Q76520;
Augustinergasse;wikidata;""+"";Q29075;
August‑Rohde‑Straße;wikidata;m;Q106915212;
Aulgasse;wikidata;""+"";Q3400050;
Baldingerstraße;wikidata;m;Q214752;
Bantzerstraße;wikidata;m;Q878161;
Barfüßerstraße;wikidata;""+"";Q746833;
Barfüßertor;wikidata;""+"";Q746833;
Beethovenstraße;wikidata;m;Q255;
Bei St. Jost;wikidata;-;Q29464433;
Bismarckstraße;wikidata;m;Q8442;
Brüder‑Grimm‑Straße;wikidata;""+"";Q2793;
Bunsenstraße;wikidata;m;Q71031;
Calvinstraße;wikidata;m;Q37577;
Carl-Strehl‑Straße;wikidata;m;Q214541;
Carl-von-Ossietzky-Straße;wikidata;m;Q76358;
Chemnitzer Straße;wikidata;-;Q2795;
Christa-Czempiel-Platz;wikidata;w;Q1078037;
Cilly-Schäfer-Straße;wikidata;w;Q1091979;
Clemens‑Brentano‑Straße;wikidata;m;Q57235;
Conradistraße;wikidata;m;Q1532689;
Dagobertshäuser Straße;wikidata;-;Q1157367;
Damaschkeweg;wikidata;m;Q89439;
Deutschhausstraße;wikidata;""+"";Q48189;
Dietrich-Bonhoeffer-Straße;wikidata;m;Q76326;
Dörfflerstraße;wikidata;m;-;
Dürerstraße;wikidata;m;Q5580;
