name;source;gender;wikidata;type
Afföllerstraße;wikidata;-;Q104819;
Afföllerwiesen;wikidata;-;Q104819;
Ahornweg;wikidata;-;Q42292;
Akazienweg;;-;;
Allersbergweg;;;;
Allnatalstraße;;;;
Alte Hute;;;;
Alte Kasseler Straße;;;;
Alte Kirchhofsgasse;;;;
Alte Schulstraße;;;;
Alter Ebsdorfer Weg;;;;
Alter Kirchhainer Weg;;;;
Alter Weg;;;;
Altes Schloß;;;;
Am Alten Rasen;;;;
Am Bahndamm;;;;
Am Berg;;;;
Am Bettacker;;;;
Am Bienengarten;;;;
Am Born;;;;
Am Bornberg;;;;
Am Brückchen;;;;
Am Buchenwald;;;;
Am Dachsbau;;;;
Am Dammelsberg;;;;
Am Denkmal;;;;
Am Engelsberg;;;;
Am Erlengraben;wikidata;-;Q25239;
Am Fernheizwerk;;-;;
Am Forsthaus;;;;
Am Friedhof;;;;
Am Glaskopf;;;;
Am Grabenacker;;;;
Am Grassenberg;;;;
Am Grün;;-;-;
Am grünen Hang;;;;
Am Gutshof;;;;
Am Hang;;;;
Am Hasenküppel;;;;
Am Hasselhof;;;;
Am Hedgesberg;;;;
Am Herrenfeld;;;;
Am Jägerwäldchen;;;;
Am Kähnelplatz;;;;
Am Kaufmarkt;;;;
Am Kirchberg;;;;
Am Kirschenwald;;;;
Am Knechtacker;;;;
Am Köppel;;;;
Am Kornacker;;;;
Am Kornfeld;;;;
Am Krappen;;;;
Am Krekel;;-;-;
Am Kuhweg;;;;
Am Kupfergraben;;;;
Am Lorch;;;;
Am Mähracker;;;;
Am Marktpfad;;;;
Am Martsacker;;;;
Am Mühlgraben;;;;
Am Mühlhof;;;;
Am Mühlteich;;;;
Am Nußacker;;;;
Am Ortenbergsteg;;;;
Am Pfaffenwald;;;;
Am Plan;;-;-;
Am Pulverturm;;;;
Am Rabenstein;;;;
Am Rain;;;;
Am Richtsberg;;;;
Am Rödchen;;;;
Am Schlag;;;;
Am Schulgarten;;;;
Am Schulhof;;;;
Am Schützenplatz;;;;
Am Schwanhof;;;;
Am Schwarzen Born;;;;
Am Spielplatz;;;;
Am Steinmühlfeld;;;;
Am Strauch;;;;
Am Strauchacker;;;;
Am Teich;;;;
Am Trusch;;;;
Am Vogelherd;;;;
Am Waldacker;;;;
Am Wäldchen;;;;
Am Waldrand;;;;
Am Wall;;;;
Am Weinberg;wikidata;-;Q282;
Am Weißenstein;;;;
Am Welzebach;;;;
Am Wichtel;;;;
Am Wittelsberg;;;;
Am Ziegenberg;;;;
Am Zuckerberg;;;;
Amöneburger Straße;wikidata;-;Q373902;
Amselstraße;;;;
An den Brunnenröhren;;;;
An den drei Morgen;;;;
An den Gärten;;;;
An den Plänchen;;;;
An den Siechengärten;;;;
An den Steinäckern;;;;
An den Steinbrüchen;;;;
An den Weiden;;;;
An der Berghecke;;;;
An der Dreispitze;;;;
An der Haustatt;;;;
An der Kirche;;;;
An der Linde;;;;
An der Martinskirche;;;;
An der Schäferbuche;;;;
An der Schanze;;;;
An der Schülerhecke;;;;
An der Zahlbach;;;;
Andrestraße;;;;
Annablickweg;;;;
Arzbachweg;;;;
Asternweg;;;;
Auf dem Halmburger;;;;
Auf dem Junkheim;;;;
Auf dem Rück;;;;
Auf dem Schaumrück;;;;
Auf dem Wehr;;;;
Auf dem Wulf;;;;
Auf dem Wüsten;;;;
Auf den Lahnbergen;wikidata;-;Q1517066;
Auf der Appeling;;;;
Auf der Beute;;;;
Auf der Ebert;;;;
Auf der Grube;;;;
Auf der Haide;;;;
Auf der Höhe;;;;
Auf der Hube;;;;
Auf der Jöch;;;;
Auf der Kahn;;;;
Auf der Kanzel;;;;
Auf der Seite;;;;
Auf der Weide;;;;
Auf'm Gebrande;;;;
Bachrücken;;;;
Bachstraße;;;;
Bachweg;;;;
Bahnhaus;;;;
Bahnhofstraße;;;;
Bauerbacher Straße;;;;
Baumgarten;;;;
Behringweg;;;;
Bei der Hirsenmühle;;;;
Bei St. Jost;wikidata;-;Q29464433;
Beltershäuser Straße;;;;
Bergblick;;;;
Bergelchen;;;;
Bergerweg;;;;
Berghofweg;;;;
Bergring;;;;
Bergstraße;;;;
Bergwiesenweg;;;;
Berliner Straße;;;;
Bettenweg;;;;
Bettewiese;;;;
Biegenstraße;;-;-;
Bienenweg;;;;
Birkenstraße;;;;
Birkenweg;;;;
Birnenstraße;;;;
Blaue Hofstadt;;;;
Blitzweg;;;;
Blumengarten;;;;
Blumenstraße;;;;
Blütenstraße;;;;
Bodenfeldstraße;;;;
Borngasse;;;;
Bortshäuser Straße;;;;
Brandenburger Straße;;;;
Braugasse;;;;
Breslauer Straße;;;;
Bruchwiesenweg;;;;
Brücker Weg;;;;
Bruderweg;;;;
Brunnenstraße;;;;
Bubenmühle;;;;
Buchenrotsweg;;;;
Buchenweg;;;;
Bühl;;;;
Bühlacker;;;;
Bunter Kitzel;;-;-;
Burgblick;;;;
Bürgelner Straße;;;;
Burgwaldstraße;;;;
Burgweg;;;;
Busring;;;;
Calderner Straße;;;;
Cappeler Gleiche;;;;
Cappeler Markt;;;;
Cappeler Straße;;;;
Chemnitzer Straße;wikidata;-;Q2795;
Christopherusstraße;;;;
Cölber Straße;;;;
Cyriaxstraße;;;;
Dagobertshäuser Straße;wikidata;-;Q1157367;
Dahlienstraße;;;;
